Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 68
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169735993.889504,190021993.159208,212169992.36188,237649991.4446,266559990.40384,300271989.190208,346800000.0,398000000.0,453800000.0,538700000.0,539500000.0,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720400000.0,10395800000.0,10974100000.0,11671900000.0,11745100000.0,12236700000.0,12615800000.0,13016200000.0,9958200000.0,11368900000.0,13136400000.0,14338500000.0,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753478260.86957,6122959183.67347,4735044707.23969,3630668949.83246,1255802469.1358,1866572953.73665,2786045321.63743,3671909673.04401,4116774300.60671,4686256363.04707,5567772768.81188,5800615466.26648,6728220886.64546,8498894359.38629,10156541538.399,11222796336.5426,12864841905.9543,15778734264.3787,19112796623.1175,17613949091.2294,17176315803.7298,18644233537.1093,17226735995.6905,18179108530.5261,18558733564.4692,16404348871.4437,17116926327.6247,18326373366.1105,20484053868.9246,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,27514782476.0406,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17389558232.9317,18404907975.4601,16939790093.9054,16275073526.9819,14931435232.078,13972683273.5692,14756846153.8462,14130585516.1787,15221352698.8944,12138243080.6258,12736780455.1539,12354820143.8849,14594900944.7658,17825444724.4878,23141566292.9462,30210091836.8294,36961894281.3444,45275711995.825,60752106347.126,50873167326.0414,57231904542.8755,61762382327.9319,65685890438.8922,75527558966.4473,78812805039.0743,56454889146.6088,47723545321.259,54725302249.8088,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,73775179924.603,71857382745.6066,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072478.0724781,29964999.965,31857591.8575919,33750113.7501138,36194586.1945862,40110040.1100401,44450044.4500445,47431255.747674,44999910.00018,47399905.2001896,53339893.3202134,59074687.1961851,65998069.3847631,78214767.8301496,103160450.445869,118194026.251574,97094227.2292471,117650000.0,136300000.0,151800000.0,257400000.0,260750000.0,248550000.0,262150000.0,290350000.0,287300000.0,311500000.0,371100000.0,421450000.0,491100000.0,547150000.0,597100000.0,696250000.0,752850000.0,772300000.0,819050000.0,850850000.0,873400000.0,929500000.0,1000250000.0,1138900000.0,1172800000.0,1244650000.0,1308900000.0,1400850000.0,1474950000.0,1591150000.0,1707100000.0,1738900000.0,1688500000.0,1745700000.0,1827050000.0,1909400000.0,2032750000.0,2138250000.0,2193050000.0,2240200000.0,2266300000.0,2293250000.0,2388300000.0,2042850000.0,2420550000.0,2846700000.0,3066850000.0,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,72400000.0,76500000.0,80700000.0,82600000.0,92200000.0,98000000.0,115000000.0,134800000.0,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7286607000.0,7827980000.0,8141700000.0,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373250000.0,406000000.0,443916666.666667,478000000.0,538583333.333333,598333333.333333,662500000.0,748250000.0,849333333.333333,920333333.333333,1006833333.33333,1084666666.66667,1286153846.15385,1263600000.0,2101300000.0,2405900000.0,2733350000.0,3229050000.0,3760100000.0,4510500000.0,4450360000.0,5778480000.0,5600390625.0,5414008620.68966,6169304528.06122,5377276656.7658,3959383519.82718,4347956337.93221,4597611710.19835,4715973437.43673,4867582597.51312,5343262457.10226,5643868748.68126,5734699488.84934,5981222858.82727,6715161732.22658,7396949126.35685,7925736821.45034,8497494652.12546,8285064434.56826,8397855484.76908,8141516928.39489,7905485146.44351,8082399639.54305,8773451751.5121,9549122905.32852,11451844902.2214,13120108008.3477,16674276285.8956,17339992193.7322,19649723722.1034,23963164696.592,27084497481.9103,30659338885.6729,32996188012.5599,33000198248.1292,33941126200.0606,37508642165.3366,40287647930.4761,40895322843.7851,36629843805.0216,40406111695.179,44008282877.9606,45135398008.8166,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,17030465539.3906,17275940449.3837,19231747851.5332,23287712878.2002,20963733694.9749,22465522884.0988,28283323733.1114,31086389194.961,33930457425.2613,37171640818.5863,42327664793.6934,48869830901.7878,58434858374.8696,83592275862.9982,109794519727.538,129203555238.827,153168949208.207,176344101401.941,200278646123.581,221338204480.222,237393489892.637,258015174748.648,271314113768.417,189656506321.431,188339974086.58,210879844638.877,256480852471.129,283056836893.838,307881930752.268,412990820287.42,464989098144.854,342534090909.091,328191909882.232,368292034380.96,525369467295.737,769333050986.905,850426432991.742,883206179730.462,863710759256.435,599642024319.531,655448231983.527,559983634798.981,509795273806.715,558233745651.874,669289424806.307,891633839853.105,1107626541710.74,1397114486471.38,1695855083552.05,1666996438681.46,2208837745214.23,2616156223977.47,2465227803011.57,2472819535742.73,2456043727198.85,1802212206904.68,1795693482652.52,2063514977334.32,1916933898038.36,1873288205186.45,1476107231194.11,1670647399034.67,1951923942083.32,2173665655937.27,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,80021846.9120401,85363759.3050333,88782583.4232151,99893761.2239743,99252731.4101492,105021996.817915,113195122.715028,125553996.636324,125733668.5,141393142.0,166210203.0,186826488.654583,213725248.885492,260767889.187417,311804643.421258,402178605.019554,435911268.58968,495097667.929041,552883707.055138,670362452.145379,1012280614.52792,1114204743.20091,1163923830.35847,1236016506.73694,1346890071.09829,1409536120.91682,1547755183.21484,1704370307.76115,1812757917.76463,2006165166.80754,2012131457.26644,2020583702.08323,1957000000.0,2063342117.03873,2151344901.30761,2216974096.35559,2363645403.47039,2498384129.66738,2817083478.34734,2951822204.54432,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217323400.0,4675767950.0,4790410400.0,4466809600.0,5191188500.0,5342183800.0,5271257500.0,5361158350.0,5365976700.0,5288057750.0,5330761500.0,5517340450.0,5629916200.0,5788288000.0,5168344450.0,5275242050.0,6257303500.0,6720733200.0,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114039500.591268,132757528.044374,139029537.243321,160818235.866746,161210236.44168,179078929.315763,197525767.791735,270822782.026674,433095526.686136,2319576214.21329,2496420257.54042,3054765590.29214,3681242528.32494,4100423673.58759,6044367628.28515,10795432293.6119,9367218664.31094,8932198185.72876,7927590750.39502,7632788075.1621,6967623884.42343,4190280002.67381,4918010080.03047,4535130304.71096,4983622880.99938,6039881086.68157,6284497300.38401,6327966444.87488,6203339925.05349,6467782521.31603,7700144056.74744,7663377277.00351,7793034389.75098,5550846024.98159,6309070374.83966,6570999059.70575,6096155747.56182,6333082878.97992,7167725264.75135,8619178799.47025,10547202612.4295,12644616446.1918,13432029495.6785,15926456491.5178,11912904529.0722,13707121031.2552,18524791070.6802,19048443339.9457,18094148099.4922,17097797371.9718,12930296852.4882,11400266055.3232,12128168046.7827,13566908401.1864,13469235348.2211,12005799664.2691,14006496614.3195,16681536442.5498,15128292980.8638,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,61812113.0666667,66289450.3252986,70139866.8083136,78900289.3165483,92901784.4986973,86820762.4931172,88461262.7788474,97884433.8024868,94086227.6084972,105377995.200713,128669200.916451,139174178.090189,141439317.399271,156704289.913612,160423493.936194,163288815.361294,191218115.488485,242742766.346488,272298066.556045,264798626.174848,287765007.112863,240294286.015925,240233531.160464,225973692.8371,258954708.048533,290490983.815778,303408345.620078,352229076.707627,363458380.903342,399311199.50776,460733418.399276,496110225.710307,559345263.708309,651935430.314445,735348490.428435,860391000.221655,942879878.538879,1255767964.00491,1317517834.59916,1331343797.77308,1708880730.87271,1977728659.25621,1973387228.03924,1943696951.76613,2089079570.67546,2187815803.82922,2357504760.5975,2591358009.79792,2583335721.20625,2735683570.28851,2457604334.15915,2768802959.60794,2898227743.13545,,
